Titel_Autor,Autorenvorname,RASignatur,Beginnt mit,Volltext,index,id,file
ORGANISATION,,2069/41,A,Organisation Organisation und Arbeitsrichtlinien von zentralen Schreib- diensten. Hrsg.vom Verband der Lebensversicherungsunter- nehmen e.V.»Bonn - Ausschuss für Betriebstechnik. Schrif- tenreihe Betriebstechnische Fragen der Lebensversicherung. 41. Folge,1255,1255,chunk_8.csv
ORGANISATION,,84746,A,"Organisation Organisation und Betrieb von Rechenzentren.Fachgespräch, der CI, Erlangen, 12./13.März 1981. Hrsg.von E1.Wolf . Informatik-Fach'berichte;nrsg,von W.Brauer im Auftrag der Gesellschaft für Informatik (oi). [Band] 46. Berlin,Heidelberg,New York,",1256,1256,chunk_8.csv
ORGANISATION,,81759,A,"Organisation	Bl'759 Organisation und Rationalisierung im Euro, Vortrage, gehal- ten an der Tagung über Organisation und Rationalisierung im Büro, am 5.Juli 1957, veranstaltet vom Betnebswissen- schaftlichen Institut der Eidgenössischen Technischen Hoch- s",1257,1257,chunk_8.csv
ORGANISATIONS-BREVIER,,4428,A,"Organisations-Brevier Organ i s at i o na -Er evi er . Schaffhausen:Georg  Fischer   Aktiengesellschaft,C1954) -21   era.   37   S.   Abb1. ",1258,1258,chunk_8.csv
ORGANISATOR,,217,A,"Organisator Organisator, der. Schweizer Monatsschrift f. moderne Ge- schäftsführung , Organisation u. Propaganda; mit Beilage ""Reklame"". Jg. IV, 1923 - 19,1937 ff.- [1921, 1922 unvollständig].       £~ J&. Zürich:?erlag Organisator 1921- ",1264,1264,chunk_8.csv
ORGANISATOR-BÜCHER,,,A,"Organisator-Bücher Organisator-Bücher,   die.   Nr.30.) a.   Streiff,Ullin.   Leitfaden  zum neuen  Arbeitavertrags- Reciit. ",1266,1266,chunk_8.csv
ORIENTIERUNG,,97377/62-,A,"Orientierung Orientierung, die, [der] Schweizerische[n] Volksbank. 62 s.   Lutz, Benne.   Die finanzielle Führung der Unter- nehmung. ",1270,1270,chunk_8.csv
ORION,,7709,A,Orion Orion Automobil-Werkstätten Zürich igiO-1935- Ein kurzer Rückblick aut 25 Jahre Arbeit. (ZürlchíArt.Inst.O.F. 1935).	C28 S.) 4 ,1273,1273,chunk_8.csv
ORLOW,SANFORD M.,,,"0 r l o w     ,     Sanford      M. s.        Corlen,   Keith E.j   O'S'M.;  Pleiico,  Perry S. Data abstraction  and  object-oriented programming in C++. ",1274,1274,chunk_8.csv
ORTLOFF,HERMANN,,A,"Ortloff , Hermann Ortloff(Hermann. Die Reform-des Studiums der Rechts- und Staatswissenechaften. Mahnworte an Lehrer und Studierende Berlin:Eeymann 1887.	(VI,66 S.) (Dr.) ",1276,1276,chunk_8.csv
ORTMANN,DIRK,87141,A,"Ortmann  ,  Dirk Ortmann, Dirk.   Access für Windows 95 für Datenbank- entwickler. 2., vollständig überarbeitete und erweiterte Auflage. {Hanser Programmier Praxis). München: Carl Hanser Verlag, (1996).       -25cm.681 S., j^    l CD-Rom, l Diskette. 3585",1278,1278,chunk_8.csv
ORTSCHAFTENVERZEICHNIS,,5420,A,"Ortschaftenverzeichnis •Ortschaftenverzeichnis,schweizerisches.        v Herausg.v.eidg.statistischen Bureau. Bern:A.Franke 1920.	(693 S.) ",1281,1281,chunk_8.csv
ORTSCHAFTENVERZEICHNIS,,7045/4,A,"Ortsehaftenverzeichnis *0rtschaftenverzeichnis .schweizerisches, Eerausg.v.eidg.statistischen Bureau. Schweizerische Statistik.   Lfg 150. Bern:A.Francke  igo6.	(354 S.) 451 ",1282,1282,chunk_8.csv
ORTS-LEXIKON,,32,A,"Orte-Lexikon	%O Orte-Lexikon der Erde - Dictionnaire universel des localités- Dizionario geografico-postale universale. Zum Gebrauch bei den schweizerischen Poststellen. Herausg.v.d.schweizerisehen Oberpostdirektion. Bern 1910.	(1,1439 S.) •	4 ",1284,1284,chunk_8.csv
ORTSLEXIKON,,,A,"Ortslexikon	•*> Ortslexikon, neues schweizerisches = Nouveau dictionnai re géographique de la Suisse = NUOTO dizionario geogra- fico della Svizzera. (23., vollständig neubear ""bei tete Auflage [dea von Arthur Jacot hrsg. ""Schweizerischen Ortslexikons""]. R",1285,1285,chunk_8.csv
ORTS-LEXIKON,,7905,A,"Orts-Lexikon »Orts-lexikon,schweizerisches; nach amtlichen Quellen Dear- beitet. 3.*A Bera.-Nydegger & Baumgart 1890.	(517 S.) ",1287,1287,chunk_8.csv
ORTSVERZEICHNIS,,,A,"Ortsverzeichnis Ortsverzeichnis = Liste  dea localités = Elenco delle  lo /<. calità = Glista da las localitads. Ausgabe vom [gì, [Bern],  PTT, Eest.Nr.   9309/a ",1289,1289,chunk_8.csv
OSER,HUGO,81555,A,"Oser, Hugo Oser,[Hugo und] wfilhelm] Schönenberger. Schweizerisches Oblígationenreoht. Textauegabe ... 22. Auflage. Zürich:Schulthess 1954.	O9+756-HOO S.) K 3629                  W' ",1293,1293,chunk_8.csv
OSF/DCE,,83466,A,"OSF/DCE.   Introduction to OSF/DCE. Revision 1.0 - Open Software Foundation. Englewood Cliffs, N.J.: PTR Prentice Hall, (Inc., 1992) A        -24cm.XIV,[238] p 3H04 ",1301,1301,chunk_8.csv
OSHERSON,DANIEL N.,85609,A,"Osherson,  Daniel N. Osherson, Daniel N.; Stob, Michael; Weinstein, Scott. Systems that learn. An introduction to learning theory for cognitive and computer scientists. (2nd printing). À Bradford book; The MIT Fresa series in learning, de- velopment and c",1305,1305,chunk_8.csv
OSTASIEN,,93292,A,"Ostasien Oatasien, Tradition und Unibruch. Vorw.von Friedrich A. Lutz. Aufsätze von Th(eodor)Leuenberger ...[u.a.]. (Sozialwissenschaftliche Studien fUr das Schweizerische Institut fUr Auslandforschung. Band [l5]). Erlenbach-ZUrich,Stuttgart:Eugen Rentsch",1308,1308,chunk_8.csv
OSTERLOH,MARGIT,87335,A,"Osterloh  ,  Margit Osterloh, Margit; Frost, Jetta.  Prozessmanagement als Kernkompetenz. Wie Sie Business Reengineering strate- gisch nutzen können. (Nachdruck). (Wiesbaden: Betriebswirtschaftlicher	Verlag Dr. Th.) Gabler (GmbH, 1997).	-24cm.249 S. 36360",1309,1309,chunk_8.csv
OSTERTAG,FRITZ,1291,A,"Ostertag,  Fritz Ostertag,F[ritz].  Das Bundeegesetz über den Versicherungs vertrag. Mit Einleitung und Anmerkungen. Zürich: Art. Ins t. Orell Füseli    1915-.	(260 S.) (Bundesrichter) ",1311,1311,chunk_8.csv
OSTRANDER,SHEILA,85924,A,"Ostrander,  Sheila Ostrander, Sheila and Naneyj Schroeder, Lynn.  Leichter lernen ohne Stress: Superlearning. Die revolutionäre Lo- sanow-Hethode zur Steigerung von Wissen und Gedächtnis durch müheloses Lernen. (Uebersetzung aus dem Amerikani- schen von S",1314,1314,chunk_8.csv
OSTSCHWEIZ,,5539,A,Ostachweiz Ostschweiz-Westachweiz-Eídgenossenachaft=Suisse orien- tale-Suisse romande-Confédération. Denkschrift für Fritz Hummler ... Zürich:   Polygr.Verlag   (1965).	(177  S.) 7n958	Ä ,1317,1317,chunk_8.csv
OSWALD,G.,,,"0 s w a 1 d , G s.Wick,w[ilhelm]. Der kleine Merkur...   1936 2239 ",1321,1321,chunk_8.csv
OSWALD,HANS,2878,A,"Oswald,  Hana Oswald,Hans. Unterschiede zwischen sozialer und privater Unfallversicherung. SA. aus ""Schweizerische Zeitschrift für Sozialversicherung"", 8,Jahrgang 1964, Hefte 3/4 und 9.Jahrgang 1965, Heft 1. Bern: Stampili, 1965.	(60 S.) ",1322,1322,chunk_8.csv
OSWALD,HANS,6227,A,"Oswald, Hans Oswald,Hans. AHV-Praxis. Textausgabe des Bundesgesetzes über die Alters- und Hinterlaesenenvereicherung, erläutert durch die Rechtsprechung des Eidgenössischen Versicherungs gerichts mit Einleitung und Registern sowie Hinweisen, namentlich au",1323,1323,chunk_8.csv
OSWALD,HEINRICH,,A,"Oswald  ,  Heinrich Oswald, Heinrich.  Frontwechsel der Manager. Von Corio- lan bis lacocca. (Zürich), Verlag Moderne Industrie, [l98S].  -21cm.88 S 25871	^ ",1324,1324,chunk_8.csv
OSWALD,HEINRICH,4322,A,"Oswald , Heinrich	¥'3 Z %/ Oswald, He inri eh.. Führen statt verwalten! Akzente der Unternehmenaführung. Bern,Stuttgart:Paul Haupt,1967.	(176 S.) 9273 ",1326,1326,chunk_8.csv
OTT,CARL,5685,,"0 t t , C a r l '6/S [Ott,Carl.) Histoire de La Neuchâteloise, Companie suiaae d'assuranoea générales. Neuchâtel 1946.	- 24 cm. IV,30 p. ill. ",1327,1327,chunk_8.csv
OTT,FRITZ,1057,A,"Ott   ,  Fritz Ott,Fritz.  Die Vermögens- und Einfcommens-Steuer in der Schweiz.    Orientierung für Steuerpflichtige, Zürich:Art.Inst.Orell Püssli  1914.	(279 S.) 856 3.)                                              ^          (Rech-tBanmlt)   (Ott ",1330,1330,chunk_8.csv
OTT,HANS,87441,A,"Ott  ,  Hans (Ott, Hans; Suter, Beat).   Start ins Internet. Eine Einführung in 10 Schritten. (Online Praxis. Band 1). (Zpfingen: Ringier AG, 1997).	-19cm.96 S. 36677                      ™ ",1331,1331,chunk_8.csv
OTT,MAX,94587,,"0 t t ,  Max O t t, Max, Devisengeschafte nach schweizerischem Recht (Schweizer Industrie- und Handelsstudien, Heft 17.) WeinfeldenrNeuenschwander, 1924.         (156 S,) 1179	W (Er.) ",1332,1332,chunk_8.csv
OTT,WALTER,12121,,"0 t t, W ai ter Ott,Walter. Die Problematik einer Typologie im Gesell- schaftsrecht, dargestellt am Beispiel des schweizerischen Aktienrechts. (Abhandlungen zum schweizerischen Recht. Neue Folge, Heft 412.) Bern:Stämpfli,1972.	- 2? cm. 146 S 13038 ",1333,1333,chunk_8.csv
OUALLINE,STEVE,87992,A,"Oualline  ,  Steve Oualline, Steve.   Practical C++ programming. (1st edi tion, minor corrections). Sebastopol, CA: O'Reilly & Associates, Inc., (1997). -24cm-XXIV,557 p, 37910 ",1339,1339,chunk_8.csv
OUDERDOMSWET,,,A,"Ouderdoroewet Ouderdomewet 1919 s.Ieijdeedorff,L   ...    1920. 1929, O ",1340,1340,chunk_8.csv
OUSTERHOUT,JOHN K.,86330,A,"Ousterhout  ,  John  K. Ousterhout, John K.  Tel and the Tk toolkit. (7th prin ting. Addison-Wesley professional computing series). Reading, MA; Addison-Wesley Publishing Company, (Inc 1996).	-24cm.XX,458 p 37026 ",1341,1341,chunk_8.csv
OVERBECK,A. VON,,A,"Overbeck  f A	von B.  Thormann.Ph	und A.O.    Das schweizerische Straf- gesetzbuch.                                                                         1940- 1941,5059. ",1346,1346,chunk_8.csv
OVEREENKOMSTEN,,70502,A,"Overeenkomsten Overéenle oins t en van Brandverzelceraars te Amsterdam, Uitgave van de Vereeniging van ter Ameterdarosche Beurze vertegenwoordigde Brand-Aseuradeuren, [Amsterdam]  1935.	(68 3.) 1939,2697.                                      W/ ",1347,1347,chunk_8.csv
OVERSTREET,H.A.,5012,A,"Overstreet.H Overatreet,H         A        Mehr Einfluss gewinnen durch unser Denken, Heden und Schreiten. Bern:Hugi [1946].	(155 S.) K 388 ",1348,1348,chunk_8.csv
OVERZIER,CLAUS,85047,A,"Overzier     ,     Claus Overzier,   Claus.     Systematik der  Inneren Medizin.  Daten, Fakten,   Uebersichten.Mit Schlüasel  zum Gegenstandskatalog, 7.Auflage.   93 Abtildunge,   38 Tabellen,   3 far""bige Tafeln. Stuttgart,Hew York,   Georg Thieme Verla",1349,1349,chunk_8.csv
OWEN,GUILLERMO,3641,A,"Owen,   Guillermo	S C ^'f Owen,Guillermo.   Game theory. Philadelphia, London, Toronto:W.B.Saunders Company,1968, (XII,228 p.) 10015 ",1350,1350,chunk_8.csv
OXFORD,,82256,A,"Oxford Oxford dictionary, the concise, of proverbe. Edited by J.A.Simpson. Oxford, Oxford University Press,	1982.            -21cm, A	XIII,256 p. 20429	^¿ ",1352,1352,chunk_8.csv
BAARK,HELMUT,,A,"Baark,  Helmut	' Baark, Helmut.   Gesund auf Flugreisen.(lübtoes ärztlicher Ratgeber; Bastei-LUbbe-Taschenbuch. Bd.67006). (Bergisch Gladbach, Gustav LUbbe Verlag, 1979).    -IScm. A	173 S.ill. ",1356,1356,chunk_8.csv
BACH,FRED,,A,"Bach,  Fred Bach, Fred; Domann, Peter.   UNIX-Tabellenbuch für die Systeme UNIX Version 7; UNIX System IIIj UNIX System V; SINIX; XENIX 286; 4.2 BSD; XENIX 86 von P.B., A.Baur, Chr.Jansen, G.Spies. Hrsg. von F'B1 und P'D1. München, V/i en, Carl Hanser Ver",1357,1357,chunk_8.csv
BACH,MAURICE J.,83696,A,"Bach  .  Maurice   J. Bacìi,   Maurice J.     The  design of   the  UNIX  operating system. (Prentice-Hall  software  series). (London),  Prentice/Hall  International,Inc.,   (1986). •-24cm.XIV,471 p. 25115,32382	^¿ ",1359,1359,chunk_8.csv
BAADER,ERNST,81987,A,"Baa' der,   Ernst     W. Baader, Ernst W. Klinische Grundlagen der sechsundvierzig meldepflichtigen Berufskrankheiten. 5- ,neubearbei tete und erweiterte Auflage der ""Gewerbekrank heiten"". Mit 69 Abbildungen im Text und 12 farbigen Tafeln MünchenrUrban & ",1362,1362,chunk_8.csv
DELMARE,FRANCOIS,,A,"Delamare     ,      François s.        Garnier-Delamare.        Dictionnaire  des termes  de  médecine   .. . ",1369,1369,chunk_8.csv
DELMARE,JACQUES,,A,"Delamare  ,  Jacques s.   Garnier-Delamare.   Dictionnaire des termes de médecine ... ",1370,1370,chunk_8.csv
DELCROS,H,2408,A,"Delcros.H Delcros.H         Pages vécuesJ les assurances sur la vie Parle:""l1Argue""   (1934).	(361 p.) W       (Directeur)	5* ",1374,1374,chunk_8.csv
DELCROS,JEAN,93056,A,"Delcros , Jean	93*056 Delcroa,Jean. Guide théorique et pratique de l'aesureur- vie. 2e édition revue, augmentée et actualisée. (Parie:L'Argus) 1951.	(198 S.) 0	Cn K 2132                   -	(Prof., Directeur) -' ",1376,1376,chunk_8.csv
DELEERS,CHARLES,,A,"Deleers     Charles s.   Carton  de   Tournai,René ;   D'Ch' Les  asssurances  de  groupes. ",1377,1377,chunk_8.csv
DELISLE,EDUARD,,,"Beitele,     Eduard	^ Delisle,  Eduard.       Marketing in  der Versieherungswirt- sehaft.   2.   überarbeitete Aufläge.Beiträge  zu wirtschafts wissenschaftlichen Problemen  der Versicherung.  Band 5. Karlsruhe,   VVW   (Verlag Versiclierungswirtschaft e",1380,1380,chunk_8.csv
DELLACQUA,ALEXA A.,,A,"Dell'Acqua     ,     Alesa       A. s.       Mace,   An.th.ony;   Mazzaferro,   John F.j   D'A'A. PC  network operating systems   ... ",1382,1382,chunk_8.csv
DELLA CASA-KAUFMANN,,,A,"Della      C  a s a    -      Kaufmann Della Caaa-Kaufmann»  Èva Maria e. Baurecht, das private, der Schweiz. Beiträge für die Praxis ... ",1383,1383,chunk_8.csv
DELMAS,RENÉ,83622,A,"Delmas,René DelmaSjRené. Les taxes sur les polices d'assurancea Elbeuf:Allain 1939.	(52? 3.)  (Inspecteur principal) ",1385,1385,chunk_8.csv
DELOBEL,ROBERT,2604,A,"Delotel,  Robert Delobel,Robert.  L'application médicale dea assurances so ciales. Paris:Les Presses Universitaires	de France 1931.   (192 p.) •	7/r .w.	(Dr.en droit)"" ",1386,1386,chunk_8.csv
DELORE,P,,A,"D e 1 o r e , P Delore,P        Voulez-vous vous bien porter? Eléments d'hygiène individuelle. 2.éd. Paris 1938.	(18 S.) (Dr.) ",1387,1387,chunk_8.csv
DELTHEIL,ROBERT,3301,A,"Deltheil  .  Robert 33 Deltheil, R(obert). Erreurs et moindres carrés. (Traité du calcul des probabilités et de ses applications. Tom.I, fase.II). Paris, Gauthier-Villars, 1930.      -26cm. 161 S.Tab, ",1389,1389,chunk_8.csv
DEMARMELS,MADLAINA,,A,"Demarme.ls   »Madlaina s.   Semadeni,Jon.   La JUrada. ",1393,1393,chunk_8.csv
DEMOGRAPHIEBERICHT,,,A,"Demograpnietericht Demographiebericht AKT s.  Einfluss, der, der demograptischen Entwicklung auf die Finanzierung der AHV. ",1397,1397,chunk_8.csv
DEMOKRATIE,,6608,A,"Demokratie	660 f Demokratie, Schweizerische, 1848-1948. Ein Jubiläumewerk zum hundertjährigen Bestehen des eidgenössischen Bundes- staatee. Beiträge von prominenten Persönlichkeiten der Politik, Wirtschaft, Wissenschaft, Kunst und Armee. Eed. : .Arnold H[",1398,1398,chunk_8.csv
DEMOSCOPE,,,A,"DemoSCOPE BemoSCOTE. Festgabe zum 30-Jahr-Jubiläum von DemoSCOPE Marktforscnungsinstitut AG, Adligenswil s.  Wyss, Werner.  Marktforschung von A-Z... ([Festgabe] zum 30-Jahr-Jubiläum von D' ... ",1399,1399,chunk_8.csv
DEN,,,,"e n Den Wandel meistern. Neue Aufgaben für Industriemeister in der schlanken Produktion / Thomas Mühlbraclt . . . s.   Mühlbradt, Thomas; Krings, Kai (Hrsger. Den Wandel meistern. Neue Aufgaben für Industriemeister in der schlanken Pro- duktion . . . ",1401,1401,chunk_8.csv
DENIS,E,,A,"Dénia , E s. Durkheim.E       u.E.D. Wer hat den Krieg gewollt? ... 1915. ",1405,1405,chunk_8.csv
DENIS-PAPIN,M.,,A,Denis-Papin»M. s.  Dictionnaire national  des Communes de France ,1407,1407,chunk_8.csv
DENKANSTOESSE,,,A,"Denkanstösse Denkanstösse, Erkenntnisse, Fragen und Vorschläge aus dem Nachlass von Victor N.Cohen s.   (Auf was ea beim Gestalten ankommt). Denkanstösse ",1408,1408,chunk_8.csv
DENKSCHRIFT,,3004,A,Denkschrift Denkschrift betreffend die von den Organisationen der Pri vatangestellten im Oktober 1905 angestellten Erhebungen über ihre wirtschaftliche Lage und Berechnung der Kosten einer Pensions- und Hinterbliebenenfürsorge dieser Berufs kreise. Berlin,1413,1413,chunk_8.csv
DENNEWALD,EMILE,,A,"Dennewald       ,     Emile s,       Heinen,   Marc;   D'E1.       Eléments de  droit commercial luxembourgeois:   Lee  sociétés commerciales. ",1415,1415,chunk_8.csv
DENNING,PETER J.,87374,A,"Denning  ,  Peter   J. Denning, Peter J.; Metcalfe, Robert M.   Beyond calcula- tion. The next fifty years of computing. Foreword by James Burke. (New York):	Copernicus (Springer-Verlag New York, Inc., 1997).	-24cm.XVIII,313 p. 36484	™ ",1416,1416,chunk_8.csv
DENZLER,ALICE,94506,A,"Denzler,     Alice	^ t£ £ o Denzler,Alice.  Hundert  Jahre Allgemeine Krankenkasse  Zurich, 1856-1956. ZurichrSclHilthess  1957.	(60 S.) G  538                                                                   (Dr.phil) ",1419,1419,chunk_8.csv
DEONNA,RAYMOND,,A,"D e o n n a  ,   Raymond s.  ErhardtGustav mid R.D.    Die Stimmenthaltung ala staatepolitische Gefahr.	1945. ",1420,1420,chunk_8.csv
DEPARTEMENT,,,A,"Departement Departement, eidgenössisches, des Inneren. Wohneigen- turasförderung mit Mitteln der beruflichen Vorsorge. Be- Richt und Revisionsvorschläge s.  WohneigentumsfÖrderung mit Mitteln der berufli- chen Vorsorge. Bericht und Revisionsvorschläge... ",1422,1422,chunk_8.csv
DÉPENSES,,,A,"Dépenses Dépenses,les, publiques pour les routes en Suisse s. Ausgaben,die öffentlichen, für die Schweizerstraseen 1931-1935.	1938 ",1423,1423,chunk_8.csv
BLÄTTER,,7472,A,"Blätter	7472 i Blättertschweizerische, für Handel und Industrie. -Bulletin commercial et industriel suisse - Jg 17,1910 ff.- 55,1948. Bern 1910- 1948, 34 ",1459,1459,chunk_8.csv
BLÄTTLER,WERNER,,A,"Blättler, Werner Blättler,Werner. Papier. LuzerniSelbstverl.d.Verfassers 1943.      (107 S.) (Geschäfteführer der 1944,4757	-Bereohnungsstelle IV  / des Schweiz.Buohdruckervereinsï ",1460,1460,chunk_8.csv
BLÄTZINGER,KARL,82634,A,Blätzinger »Karl BlätzingerfKarl. Manuskript-Vorbereitung für Schreibsatz. Unter Mitarbeit von Alfred Nonnenraacher. (Buchreihe der Staatlichen Ingenieurschule für WirtSchafts- und Betriebs technik der graphischen Industrie Stuttgart. Band 1.) Stuttgart-S,1461,1461,chunk_8.csv
BLATTMANN,LYNN,,A,"Blattmann,  Lynn	¿ Blattmann, Lynn.  Prauenspuren. Archivalische Quellen und Literatur zur Zürcher Frauengesch.ich.te Ira Stadtar- chiv Zürich. Zusammengestellt von L'B1. Mit Vorwö*tön von Fritz Lendenraann, Zita Küng und Linda Mantovani Vö- geli. Zürich:",1492,1492,chunk_8.csv
BLEIBTREU,L. C,,A,"Bleibtreu, L        C Bleibtreu,L      C       Politische Arithmetik. Anleitung zur Kenntnis und Hebung aller im Staatswesen vorkommenden Berechnungen. Ein Handbuch für Staatsbeamte und Geschäfts- männer. 2.*A. Heidelberg:Winter 1853.	(XII,456 S.) 372    ",1501,1501,chunk_8.csv
BLEICHER,H.,,A,"Bleicher,H Bleicher,H	Das Problem der kleinen Versicherungs- kasaen. (Veröffentl.d.Deutsch.Ver.f.Vers.Wissenschaft. Heft 39) Berlin 1926.	(S. 61-6?) ^   (Prof.Dr.) v ",1504,1504,chunk_8.csv
FOERSTER,KARL,4509,A,"Foerster.Karl Foerster.Carl und Honoré Mancher. Der kaufmännische Korre spondent. Band IX: Deutsch-französische Handelskorrespondenz. 5. A. Elberfeld:Loewenstein    o.J.	(VIII,676 S.) ",1606,1606,chunk_8.csv
ARGILA,CARL,,A,"Argila  ,  Carl s.   Yourdon, Edward; A'C*.   Gase studies in object-oriented analysis and design. ",1611,1611,chunk_8.csv
ARGUS,,,A,"Argus Argus international de la presse, Geneve/2urich » Inter- nationale Argus der Presse AG, Zürich/Genf. 75 Jahre im Dienste der Information, 1896-1971. (Geschichte des Unternehmens und Faksimile-Wiedergaben typischer Leit- artikel aua der Weltpresse de",1613,1613,chunk_8.csv
ARGUS,,72334,A,"A r  g u B if i', international. Editeur: La Securitaa. 1982-1987 icplt. Paris,   1982-1987.	-30om ™	Kein SWK ",1614,1614,chunk_8.csv
ARIK,KEMAL FIKRET,1928,A,"AriJc.Kemal    Fikret Arik,Kemal  Fikret.   Le legs  d 'assuranoe-deces  d'apres le droit  suisse.   These  Univeraite  de Fribourg. Arabilly;les  Presaes  Zoniennes  1941.	(151  p.) ",1616,1616,chunk_8.csv
ASSICURAZIONI,,2961,A,"Assicurazioni	2g6l     ./• Assicurazioni  private  - Legislazione federale. Stato: *~L-fI~ Berna:Cancelleria federale ,1967- ",1714,1714,chunk_8.csv
ASSICURAZIONI,,5180/6,A,"Assicurazioni	3 ""7/O/, / G Assioürazioni sociali (invaliditä e vecchiaia, tubercolosi, disoccupazione, nuzialitä. e natalitä.) Le modificazioni del R(egio). Decreto Legge 14 Aprile 1959-XVII, no.636 e della Legge 6 Luglio 1939-XVII, no.1272 (perfezionamen",1715,1715,chunk_8.csv
PORTMANN (EA),,85394,S,"85*394	Portmann (EA.) Grundriss der Sinnesphysiologie. Hrsg.von R.F.Schmidt. Mit Beiträgen von H.Altner, J.Dudel [u.a.]. 5-*Auflage. Berlin,Heidelberg,New York,Tokyo, Springer-Verlag, 1985. -21cm.XII,560 S. ",1743,1743,chunk_8.csv
MUELLER (ES),F.,85405,S,"85*405	Müller, F. (ES) Unternehmer, der, und das neue Ehe- und Erbrecht. Hrsger: Schweizerischer Gewerbeverband, [unter Mitarbeit vonj Lucius Dürr, Bruno Gutknecht [u.a.]. Das Handbuch für den Rechtsberater. Muri-Bern, Cosmos-Verlag AG, (1987).        -22",1755,1755,chunk_8.csv
LEISS,GERHARD HORST,1997,A,"Leiss,  Gerhard  Horst. Leisa,Gerhard  Horst. Der Anspruch dea Agenten auf Ent schädigung für die Kundschaft in rechtsvergleichender Darstellung. ZUrich: Polygr.Verlag, (1965).         (XIX.292 S.) 3266	W ",2773,2773,chunk_8.csv
LEIST,RALPH,86570,A,"Leiat     ,     Ralph Leist,   Ralph.        Qualitätsmanagement.  Methoden und Werk- zeuge   zur Planung und Sicherung der  Qualität   (nach DIN ISO   9000   ff.}.   Stand März  1995  ff-	[uit Nachträgen]. Augsburg:  VffiKA Fachverlag für  technische Füh",2774,2774,chunk_8.csv
LEISTUNGEN,,,A,"Le   istungen Le istungen,die,  der Arbeiterversicherung des Deutschen Reichs s.(Klein,G	A              } .Die Leistungen...                (1900) 58B ",2776,2776,chunk_8.csv
LEITFADEN,,,A,Leitfaden Leitfaden der AHV/IV/EO s.   AHV.   Leitfaden   ... ,2779,2779,chunk_8.csv
LEITFADEN,,91260,A,Leitfaden Leitfaden der kommunistischen Theorie und Praxis. (Heft 33 der sozialen Schriftenreihe des Landes verbandee freier Schweizer Arbeiter). (Flawil:Buchdr.Flawil 196l).	(72 S.) G 650 ,2782,2782,chunk_8.csv
LEITFADEN,,2560/A,A,Leitfaden Leitfaden der Lebeneversicneriingsmedizin.   2.aktualiaier- te und ergänzte Auflage.  Hrsg. vom A.usaciuiss für Aerzte- fragen und Versicherungamedizin des Verbandes der Lebens TerBiclieruiigs-Unternetimen  e.V.   Scnrif tleitung:O.Raestrup Karl,2783,2783,chunk_8.csv
LEITFADEN,,2560,A,"Leitfaden Leitfaden der Lebensverelcherungsmedizin. Hrsg.vom Aus- schuss für Aerztefragen und Versicherungsmedizin des Ver- bandes der Lebensversicherungs-Unternehmen e.V. Schrift- leitungí O.Raestrup, Karlsruhe,   (Verlag Versicherungswirtschaft,   198o)",2784,2784,chunk_8.csv
LEITFADEN,,81235,A,Leitfaden	8l'235 Leitfaden für Drucksachen-Besteller. Die wichtigsten Angaben über die gebrauchlichsten Druckverfahren und was man sonst im Verkehr mit Druckereien wissen muss. Zurich¡Organisator [l950].	(80 S.) K 1659	9                     </ ,2787,2787,chunk_8.csv
LEITFADEN,,83176,A,Leitfaden Leitfaden für Gemeindebehörden und Planungsinteresaierte zur Planungstätigkeit in den Gemeinden gemäsa dem Zürcher Planungs- und Baugesetz vom 7»September 1975. (Redaktion; Hana B.Barbe [und] Alwin Suter) ; mit Juristischer Bera- tung von Vf .Vo,2788,2788,chunk_8.csv
LEJEUNE,,,A,Le   j   e u n e [Lejéune	). Du danger des assurances souscrites aux compagnies par actions. 0.0.1189.]	(22 S.) ,2799,2799,chunk_8.csv
LEJEUNE,CH,7961,A,"Lejeune.Ch Le jeune ,Ch	Guide pratique du gérant d 'immeubles Conseils  pratiques,   documents-.comptabilité .-législation, impôts ,   taxes ,  enregistrement . Paris:Garnier Frères   (1934Ì.	(195 p.ï (Prof.) ",2800,2800,chunk_8.csv
LETSCH,HANS,324,,"e t s o h ,  Hana Letsch, Haue. Möglichkeiten und Grenzen staatlicher Hil- fe an die private Wirtschaft. Wirtschaf tspolitische Mit- teilungen. 39. Jg., 1983, H. 7/8. Zürich, Gesellschaft zur Förderung der schweizerischen Wirtschaft, 1983.      '  ^	-21cm",2854,2854,chunk_8.csv
GUIDE,,7623L,A,"Guide Guide rose de l'assurance sur la vie et de la prévoyance en France. _     , >/	• Pubi.p.[MartinJ Gerast et Ant     Néel. [Année] 1912. Saint-Etienne:1912.	""       (795 S.) ",2948,2948,chunk_8.csv
A,,84334,S,84' Faller»Adolf.   Le  corpa fcumain. ,231,231,chunk_9.csv
BIBL.,,84624,S,"84*624	Mädoj (Ad->- Menningen,Walter. Immer Aerger mit den Medien.Radio und Fernsehen unter Machtverdacht; ... Bern (1977).	-21cm.47 Ersatz ",477,477,chunk_9.csv
PARISOT,LÉON,6351,A,"Parisot.Léon Parisot.Léon. Procès et jugements. Petit encyclopédie alphabétique de droit usuel. Tome 1,11. *[éd] p. Louis Klecker de Balazuc-Barbazan. Paris :A.Michel [l92.] 1577. ",924,924,chunk_9.csv
